"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","324","Verify a not found call","","Wed May 21 15:17:55 GMT 2025","passed","Wed May 21 15:17:55 GMT 2025","","GET tests:","GET tests:","Verify a not found call"
"","571","Verify deleting a user","","Wed May 21 15:17:55 GMT 2025","passed","Wed May 21 15:17:56 GMT 2025","","DELETE tests:","DELETE tests:","Verify deleting a user"
"","19","Verify getting list of users","","Wed May 21 15:17:55 GMT 2025","passed","Wed May 21 15:17:55 GMT 2025","","GET tests:","GET tests:","Verify getting list of users"
"","21","Verify getting a single user","","Wed May 21 15:17:55 GMT 2025","passed","Wed May 21 15:17:55 GMT 2025","","GET tests:","GET tests:","Verify getting a single user"
"","26","Verify a successful call","","Wed May 21 15:17:55 GMT 2025","passed","Wed May 21 15:17:55 GMT 2025","","GET tests:","GET tests:","Verify a successful call"
"","0","Verify uploading a file","","Wed May 21 15:17:55 GMT 2025","skipped","Wed May 21 15:17:55 GMT 2025","","POST tests:","POST tests:","Verify uploading a file"
"","281","Verify creating new user","","Wed May 21 15:17:54 GMT 2025","passed","Wed May 21 15:17:55 GMT 2025","","POST tests:","POST tests:","Verify creating new user"
"","655","Verify creating new user","","Wed May 21 15:17:54 GMT 2025","passed","Wed May 21 15:17:54 GMT 2025","","PUT tests:","PUT tests:","Verify creating new user"
